"covariate_name","global_quad_r2","2009_quad_r2","2010_quad_r2","2011_quad_r2","2012_quad_r2","2013_quad_r2","2014_quad_r2"
"gdd_sum","0.52","0.53","0.31","0.59","0.54","0.84","0.72"
"ShortWaveRad_Wperm2_mean","0.07","0.04","0.06","-0.02","-0.07","0.12","0.39"
"ShortWaveRad_Wperm2_median","0.1","0.14","0.14","0.31","-0.11","0.51","-0.04"
"ShortWaveRad_Wperm2_min","0.15","0.11","0.16","0.2","-0.01","0.11","-0.01"
"ShortWaveRad_Wperm2_max","0.04","0.2","-0.04","0","-0.09","0","0.36"
"ShortWaveRad_Wperm2_sd","0.04","0.14","0","-0.03","0","-0.05","0.3"
"ShortWaveRad_Wperm2_sum","0.07","0.04","0.06","-0.02","-0.07","0.12","0.39"
"par_mean","0.09","0.01","0.15","0","-0.09","0.01",NA
"par_median","0.12","-0.26","0.12","0.06","0.02","0.22",NA
"par_min","0.01","-0.21","0.18","0.07","0.03","-0.05",NA
"par_max","0.04","-0.27","0.02","0.02","0.01","0.26",NA
"par_sd","0.05","0.03","0.1","-0.04","-0.11","-0.01",NA
"par_sum","0.09","0.01","0.15","0","-0.09","0.01",NA
